PLAYER,g_cls_1,g_cls_2,g_cls_3,g_cls_4,w_cls_1,w_cls_2,w_cls_3,w_cls_4,f_cls_1,f_cls_2,f_cls_3,f_cls_4,b_cls_1,b_cls_2,b_cls_3
Austin Reaves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Richardson,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Rivers,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Rozier,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Rubio,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D'Angelo Russell,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schroder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Landry Shamet,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anfernee Simons,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Smart,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cam Thomas,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fred VanVleet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Vincent,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Westbrook,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Coby White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick White,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Wiggins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delon Wright,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trae Young,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RJ Barrett,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nicolas Batum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Oshae Brissett,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bruce Brown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jaylen Brown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Reggie Bullock,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amir Coffey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DeMar DeRozan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Luka Doncic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Evan Fournier,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Javonte Green,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tim Hardaway Jr.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Justin Holiday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kevin Huerter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
De'Andre Hunter,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joe Ingles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Keldon Johnson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Furkan Korkmaz,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zach LaVine,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Damion Lee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nassir Little,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Terance Mann,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Isaac Okoro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kelly Oubre Jr.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Porter Jr.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cam Reddish,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Terrence Ross,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Max Strus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jayson Tatum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Garrett Temple,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Matisse Thybulle,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gary Trent Jr.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Devin Vassell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lonnie Walker IV,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Precious Achiuwa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Giannis Antetokounmpo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Carmelo Anthony,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OG Anunoby,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Deni Avdija,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marvin Bagley III,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Harrison Barnes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Scottie Barnes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Darius Bazley,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saddiq Bey,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bojan Bogdanovic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mikal Bridges,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Miles Bridges,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jimmy Butler,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Robert Covington,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Torrey Craig,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jae Crowder,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kevin Durant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dorian Finney-Smith,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Danilo Gallinari,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aaron Gordon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jerami Grant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Draymond Green,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jeff Green,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tobias Harris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Richaun Holmes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Brandon Ingram,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LeBron James,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cameron Johnson,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Herbert Jones,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Corey Kispert,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maxi Kleber,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kyle Kuzma,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kevon Looney,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trey Lyles,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cody Martin,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kenyon Martin Jr.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jaden McDaniels,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Doug McDermott,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Khris Middleton,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Marcus Morris Sr.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Georges Niang,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jordan Nwora,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Royce O'Neale,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Chuma Okeke,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cedi Osman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aleksej Pokusevski,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Otto Porter Jr.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bobby Portis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Duncan Robinson,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jeremiah Robinson-Earl,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pascal Siakam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jae'Sean Tate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Obi Toppin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P.J. Tucker,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jarred Vanderbilt,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Franz Wagner,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P.J. Washington,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Andrew Wiggins,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Grant Williams,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ziaire Williams,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Christian Wood,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bam Adebayo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LaMarcus Aldridge,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chris Boucher,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Wendell Carter Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
John Collins,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anthony Davis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Joel Embiid,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Drew Eubanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Daniel Gafford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Montrezl Harrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jaxson Hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Al Horford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jaren Jackson Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kevin Love,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lauri Markkanen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chimezie Metu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Larry Nance Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mason Plumlee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kristaps Porzingis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dwight Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Julius Randle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Naz Reid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mitchell Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Domantas Sabonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Jalen Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Isaiah Stewart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Karl-Anthony Towns,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Myles Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Robert Williams III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
